"Network.ID","Davidson_Resident","Count.Network.IDs","Avg.Time","Dupes","Priority.Police","Full.Funding.Police","Full.Funding.Sheriff"
"4351a3d1b3",1,24,1,9,"Yes","Yes","Yes"
"9ff6b41c19",1,7,1,2,"Yes","Yes","Yes"
"78d39a0ec7",1,6,4,0,"Yes","Yes","Yes"
"744e302956",1,4,8,0,"Yes","Yes","Yes"
"20c488983e",1,3,4,0,"Yes","Yes","Yes"
"797ed55a9b",1,3,8,0,"Yes","Yes","Yes"
"8d472719e2",1,3,5,0,"Yes","Yes","Yes"
"dc98bd29a5",1,3,9,0,"Yes","Yes","Yes"
"21ed4dfc76",1,2,12,0,"No","No","No"
"6919d85723",1,2,6,0,"Yes","Yes","Yes"
"6e6b908c67",1,2,4,0,"No","No","No"
"715794c5ef",0,2,0,1,"No","No","No"
"861f7cf480",1,2,2,0,"Yes","Yes","Yes"
"8de9adb8d2",1,2,4,0,"Yes","Yes","Yes"
"9e4611aa1b",1,2,2,0,"Yes","Yes","Yes"
"9f3953b4ad",1,2,5,0,"No","Yes","Yes"
"c488dfcd88",1,2,4,0,"Yes","Yes","Yes"
"cea3661095",1,2,24,0,"Yes","Yes","Yes"
"cef7f91d9f",0,2,0,1,"No","No","No"
"dfe0ff4c6c",1,2,6,0,"Yes","Yes","Yes"
"f3c53af47d",1,2,6,0,"Yes","Yes","Yes"
"0154c3019c",1,1,5,0,"Yes","Yes","Yes"
"0218cf5412",1,1,12,0,"No","No","No"
"02800b41a8",1,1,5,0,"No","No","No"
"0454a2fd48",1,1,7,0,"Yes","Yes","Yes"
"06b7f1a4fd",1,1,3,0,"No","Yes","Yes"
"07d12e3a45",1,1,5,0,"Yes","Yes","Yes"
"09561e6b45",1,1,8,0,"Yes","Yes","No"
"0aa12223cf",1,1,4,0,"Yes","Yes","Yes"
"0aba794072",1,1,5,0,"No","Yes","Yes"
"1.81E+08",1,1,6,0,"No","Yes","No"
"110dc08b8a",1,1,6,0,"No","No","No"
"11d19373ff",0,1,0,0,"No","No","No"
"1503eb380b",1,1,10,0,"No","No","No"
"1674cfbf74",0,1,1,0,"No","No","No"
"16b82021c2",0,1,0,0,"No","No","No"
"16c6155872",1,1,11,0,"Yes","Yes","Yes"
"170b6f3134",1,1,7,0,"Yes","Yes","Yes"
"174c23f8a8",1,1,5,0,"Yes","Yes","Yes"
"1803b195a5",1,1,4,0,"Yes","Yes","Yes"
"1830c747de",1,1,6,0,"No","No","No"
"1921951073",1,1,7,0,"Yes","Yes","Yes"
"1a91613619",1,1,11,0,"Yes","Yes","Yes"
"1afce5e795",1,1,81,0,"No","No","No"
"1d5d851646",1,1,6,0,"No","No","No"
"1e52a5a84f",1,1,9,0,"No","Yes","Yes"
"1e990a2819",1,1,9,0,"No","No","No"
"1e9eaf142c",1,1,5,0,"No","No","No"
"22af188c32",0,1,0,0,"No","No","No"
"243eb80994",1,1,9,0,"Yes","Yes","Yes"
"244e56be44",1,1,11,0,"No","No","No"
"2588bd4686",1,1,8,0,"No","No","No"
"26bf6154e5",1,1,4,0,"Yes","Yes","Yes"
"27518d721b",1,1,18,0,"No","No","No"
"27e15c2332",1,1,6,0,"No","No","No"
"3042c6a37f",1,1,7,0,"Yes","Yes","Yes"
"306e25a8b3",1,1,18,0,"Yes","Yes","Yes"
"307c81429a",0,1,0,0,"No","No","No"
"33a094b459",1,1,10,0,"No","Yes","Yes"
"3406e87e48",0,1,1,0,"No","No","No"
"34596e69d6",1,1,5,0,"No","No","No"
"3520f2ecc4",1,1,4,0,"Yes","Yes","Yes"
"3697ba21b7",0,1,0,0,"No","No","No"
"399c4df901",1,1,4,0,"Yes","Yes","Yes"
"3a9a093b45",1,1,4,0,"Yes","Yes","Yes"
"3c20f99e79",1,1,8,0,"Yes","Yes","Yes"
"3e0cce6871",1,1,5,0,"Yes","Yes","Yes"
"3e69ada036",1,1,6,0,"No","No","No"
"3f5d49d0ee",1,1,14,0,"No","No","No"
"4.98E+12",1,1,4,0,"No","No","No"
"4075b27093",1,1,7,0,"Yes","Yes","Yes"
"4091117125",1,1,13,0,"No","No","No"
"40be2f8038",1,1,6,0,"Yes","Yes","Yes"
"46d05acda5",1,1,4,0,"Yes","Yes","Yes"
"4913f1f424",1,1,4,0,"No","No","No"
"4a79cd7b67",1,1,11,0,"Yes","Yes","Yes"
"4b8b27ceb4",1,1,6,0,"No","No","No"
"4ebd2e83c0",1,1,7,0,"Yes","Yes","Yes"
"4f2ca734d6",1,1,11,0,"Yes","Yes","No"
"5026cd7ec3",1,1,7,0,"Yes","Yes","Yes"
"516ad375b9",1,1,3,0,"Yes","Yes","Yes"
"529e5d84e7",1,1,11,0,"No","No","No"
"53ff5751a0",1,1,10,0,"No","No","No"
"54f2790803",1,1,4,0,"Yes","Yes","Yes"
"5643da337b",1,1,10,0,"Yes","Yes","Yes"
"56ab16bcf7",1,1,10,0,"Yes","Yes","Yes"
"57072f5743",1,1,8,0,"No","Yes","No"
"583e55a311",1,1,11,0,"No","No","No"
"589cfc10fb",1,1,10,0,"Yes","Yes","Yes"
"596f8294db",0,1,0,0,"No","No","No"
"59b8c9b4cc",1,1,15,0,"Yes","Yes","Yes"
"5b9070bef4",1,1,14,0,"No","No","No"
"5bc6a12d46",1,1,6,0,"Yes","Yes","Yes"
"5cd4c44079",1,1,4,0,"No","Yes","Yes"
"5d3ba47ab2",1,1,4,0,"No","No","No"
"5d951476fc",1,1,8,0,"Yes","Yes","Yes"
"5ec76af36d",1,1,17,0,"No","Yes","Yes"
"5ee204a177",1,1,4,0,"Yes","Yes","Yes"
"605a0d0e2d",1,1,11,0,"No","Yes","Yes"
"62875e7d0b",1,1,14,0,"Yes","Yes","Yes"
"628ae0e6ba",1,1,160,0,"No","No","No"
"62980b09ce",1,1,10,0,"Yes","Yes","Yes"
"62e28e1a83",1,1,6,0,"Yes","Yes","Yes"
"6324ef256a",1,1,7,0,"Yes","Yes","Yes"
"6770afbd17",1,1,6,0,"No","No","No"
"68baecfb86",1,1,6,0,"Yes","Yes","Yes"
"69d7ee3f74",1,1,6,0,"Yes","Yes","Yes"
"6b14597d73",1,1,6,0,"Yes","Yes","Yes"
"6c4a104e8e",1,1,6,0,"Yes","Yes","Yes"
"6c9418b38b",1,1,6,0,"No","No","No"
"6d0723c866",1,1,14,0,"Yes","Yes","No"
"6d3416d4b8",1,1,7,0,"No","No","No"
"71482cbd44",1,1,5,0,"Yes","Yes","Yes"
"734ed78bc7",1,1,11,0,"Yes","Yes","Yes"
"741ee345a4",0,1,0,0,"No","No","No"
"75b07ab263",1,1,51,0,"No","Yes","No"
"77851d3b3f",1,1,8,0,"No","No","No"
"7a320b1ab8",1,1,27,0,"No","No","No"
"7b2f40e99c",1,1,35,0,"No","Yes","No"
"7dc8684712",1,1,7,0,"No","Yes","Yes"
"7df95adfac",1,1,7,0,"Yes","Yes","No"
"7e349d6565",1,1,8,0,"Yes","Yes","Yes"
"804ec6b9ff",1,1,4,0,"Yes","Yes","Yes"
"82e1e41e48",1,1,6,0,"Yes","Yes","Yes"
"84fb43d40b",0,1,0,0,"No","No","No"
"853b35d5ab",0,1,1,0,"No","No","No"
"89f0c736fa",1,1,6,0,"Yes","Yes","No"
"8b8630c705",1,1,7,0,"Yes","Yes","Yes"
"8e4abc6ecd",1,1,18,0,"No","No","No"
"90b10aaba7",1,1,20,0,"Yes","Yes","Yes"
"91317c8c50",0,1,1,0,"No","No","No"
"923a3398c9",1,1,5,0,"Yes","Yes","Yes"
"971ac759f5",1,1,8,0,"Yes","Yes","Yes"
"986f9cda16",1,1,5,0,"Yes","Yes","Yes"
"996e91e60b",1,1,8,0,"Yes","Yes","Yes"
"9bd9fb2164",1,1,4,0,"Yes","Yes","Yes"
"9e28f1322c",0,1,0,0,"No","No","No"
"9f885bbd28",0,1,0,0,"No","No","No"
"a1336764ed",1,1,4,0,"No","No","No"
"a1e5311bb4",1,1,7,0,"Yes","Yes","Yes"
"a1f7d14c01",0,1,1,0,"No","No","No"
"a2ec610939",0,1,0,0,"No","No","No"
"a3f861d060",1,1,8,0,"Yes","Yes","Yes"
"a7720e036d",1,1,9,0,"No","No","No"
"a96c35c4dd",1,1,10,0,"Yes","Yes","Yes"
"adbf734425",1,1,10,0,"No","No","No"
"add86cec2e",1,1,26,0,"No","No","Yes"
"ae8b809a87",1,1,5,0,"No","No","No"
"b1803f8cef",1,1,7,0,"No","No","No"
"b2fd5def13",1,1,7,0,"Yes","Yes","Yes"
"b370af5187",1,1,9,0,"No","No","No"
"b4d03498ba",1,1,16,0,"Yes","Yes","No"
"b8fa46f4bb",1,1,9,0,"No","No","No"
"be8d04fe59",0,1,1,0,"No","No","No"
"bec437ce25",1,1,5,0,"No","Yes","Yes"
"bf2b275cde",1,1,3,0,"Yes","Yes","Yes"
"c03ab0e959",1,1,7,0,"No","No","No"
"c28c2e09e9",0,1,0,0,"No","No","No"
"c44049be19",1,1,6,0,"No","No","No"
"c497af50cf",1,1,9,0,"Yes","Yes","Yes"
"ca2b3e6f18",1,1,3,0,"Yes","Yes","Yes"
"cc0a2ee801",1,1,10,0,"No","No","No"
"cd06989d1f",1,1,5,0,"Yes","Yes","Yes"
"ceff90ae56",1,1,11,0,"Yes","Yes","Yes"
"d093d23316",0,1,1,0,"No","No","No"
"d18592a452",0,1,5,0,"No","No","No"
"d44346357a",1,1,5,0,"No","No","No"
"d4ec8ae275",1,1,6,0,"Yes","Yes","Yes"
"d6d5ea752a",1,1,5,0,"No","Yes","Yes"
"d82596a003",1,1,6,0,"Yes","Yes","Yes"
"dc096b0146",1,1,7,0,"No","Yes","Yes"
"dd457200a3",1,1,6,0,"Yes","Yes","Yes"
"df337335ed",1,1,5,0,"No","Yes","Yes"
"e612217747",1,1,7,0,"No","No","No"
"e65442fc59",1,1,6,0,"No","No","No"
"e6822a6c93",1,1,10,0,"No","No","No"
"e839bf35d5",1,1,6,0,"Yes","Yes","Yes"
"edd7cdac82",1,1,12,0,"No","No","No"
"eeea2fe308",1,1,5,0,"Yes","Yes","No"
"ef6a6de308",1,1,12,0,"No","No","Yes"
"f05417eb24",1,1,7,0,"Yes","Yes","Yes"
"f0deb45249",1,1,6,0,"Yes","Yes","Yes"
"f2ec605ddf",1,1,5,0,"No","No","No"
"f383f914b1",1,1,4,0,"No","No","No"
"f54f0c7170",1,1,8,0,"Yes","Yes","Yes"
"f57c1c862c",1,1,8,0,"No","No","No"
"f703f3a8e6",1,1,4,0,"No","Yes","Yes"
"fa5eee7f26",1,1,15,0,"Yes","Yes","Yes"
"fa6d2fa382",0,1,0,0,"No","No","No"
"fc570abd9e",0,1,1,0,"No","No","No"
"fccede27fd",1,1,4,0,"No","Yes","Yes"
"fd9c2ea5d9",0,1,0,0,"No","No","No"
